,depth,illumination,normal,reflectance
case8_att_inv_dice_iter6_FN,137842.0,40986.0,137126.0,111436.0
case8_att_inv_dice_iter6_FP,65379.0,25495.0,123288.0,42643.0
case8_att_inv_dice_iter3_FN,138473.0,40986.0,138394.0,107219.0
case8_att_inv_dice_iter3_FP,66126.0,20636.0,113938.0,40113.0
case8_att_inv_dice_iter8_FN,139894.0,41110.0,134882.0,108480.0
case8_att_inv_dice_iter8_FP,68438.0,23949.0,116691.0,44575.0
case8_att_inv_dice_iter1_FN,137538.0,40851.0,135603.0,112016.0
case8_att_inv_dice_iter1_FP,67672.0,21543.0,116888.0,40032.0
case8_att_inv_dice_iter4_FN,142903.0,39467.0,134289.0,111702.0
case8_att_inv_dice_iter4_FP,64274.0,22623.0,118116.0,39623.0
case8_att_inv_dice_iter5_FN,138448.0,40544.0,140562.0,110853.0
case8_att_inv_dice_iter5_FP,62512.0,21255.0,120077.0,45689.0
case8_att_inv_dice_iter7_FN,131696.0,40537.0,135869.0,108774.0
case8_att_inv_dice_iter7_FP,63289.0,25102.0,118743.0,44126.0
case8_att_dice_iter4_FN,142429.0,40825.0,137135.0,107886.0
case8_att_dice_iter4_FP,63267.0,22346.0,118177.0,49241.0
case8_att_dice_iter3_FN,160994.0,45219.0,139769.0,116831.0
case8_att_dice_iter3_FP,93499.0,54476.0,140907.0,54299.0
case8_att_dice_iter1_FN,140449.0,42569.0,131210.0,109574.0
case8_att_dice_iter1_FP,63594.0,23660.0,128545.0,46887.0
case8_att_dice_iter2_FN,148927.0,41963.0,140059.0,110268.0
case8_att_dice_iter2_FP,62885.0,25062.0,117495.0,50444.0
case8_att_dice_iter8_FN,145182.0,41939.0,141495.0,110501.0
case8_att_dice_iter8_FP,68045.0,24806.0,111212.0,39293.0
case8_att_dice_iter6_FN,144632.0,41074.0,139218.0,105983.0
case8_att_dice_iter6_FP,64425.0,27337.0,125989.0,50759.0
case8_att_dice_iter7_FN,143020.0,43814.0,137323.0,106245.0
case8_att_dice_iter7_FP,62867.0,23615.0,113154.0,42088.0
case8_att_inv_dice_iter2_FN,138721.0,41281.0,138240.0,105437.0
case8_att_inv_dice_iter2_FP,65477.0,20309.0,122814.0,48988.0
case8_att_dice_iter5_FN,140504.0,39489.0,139387.0,109619.0
case8_att_dice_iter5_FP,68960.0,27880.0,114251.0,43030.0
