,depth,illumination,normal,reflectance
dice_iter5_FN,161597.0,46103.0,140883.0,117293.0
dice_iter5_FP,60418.0,15273.0,117039.0,41323.0
inv_dice_iter4_FN,148126.0,43166.0,137079.0,111655.0
inv_dice_iter4_FP,62258.0,17977.0,115257.0,39593.0
inv_dice_iter9_FN,149907.0,47653.0,138497.0,120064.0
inv_dice_iter9_FP,72635.0,26396.0,126210.0,44237.0
dice_iter3_FN,156139.0,45184.0,151163.0,116632.0
dice_iter3_FP,58824.0,19506.0,109418.0,40904.0
dice_iter9_FN,161392.0,44696.0,141013.0,116742.0
dice_iter9_FP,58324.0,14978.0,111566.0,42734.0
inv_dice_iter3_FN,148143.0,44439.0,143446.0,118885.0
inv_dice_iter3_FP,61737.0,16441.0,101484.0,41617.0
dice_iter8_FN,178519.0,52407.0,153957.0,138360.0
dice_iter8_FP,111256.0,31427.0,172966.0,90764.0
inv_dice_iter8_FN,148984.0,42771.0,140338.0,114353.0
inv_dice_iter8_FP,65968.0,20558.0,112072.0,37370.0
inv_dice_iter5_FN,147493.0,42142.0,141359.0,112755.0
inv_dice_iter5_FP,61239.0,17807.0,110251.0,41222.0
inv_dice_iter1_FN,141966.0,42031.0,145142.0,113894.0
inv_dice_iter1_FP,59585.0,19030.0,108986.0,38243.0
inv_dice_iter2_FN,146197.0,44104.0,140544.0,112580.0
inv_dice_iter2_FP,63036.0,16327.0,106088.0,37146.0
dice_iter1_FN,148030.0,45301.0,145825.0,119627.0
dice_iter1_FP,61605.0,14685.0,113868.0,42163.0
inv_dice_iter7_FN,142226.0,43358.0,137917.0,112352.0
inv_dice_iter7_FP,63987.0,18645.0,117498.0,43047.0
dice_iter10_FN,154539.0,44131.0,144154.0,116032.0
dice_iter10_FP,62704.0,19563.0,106419.0,39958.0
dice_iter6_FN,155637.0,46048.0,148556.0,118697.0
dice_iter6_FP,59886.0,17021.0,106176.0,42783.0
inv_dice_iter6_FN,140413.0,44132.0,144744.0,114138.0
inv_dice_iter6_FP,66396.0,16800.0,107252.0,34793.0
dice_iter2_FN,161282.0,44778.0,137524.0,119198.0
dice_iter2_FP,61127.0,16318.0,119941.0,38958.0
dice_iter7_FN,147633.0,45207.0,147772.0,128804.0
dice_iter7_FP,62550.0,17886.0,111763.0,36000.0
dice_iter4_FN,149377.0,43942.0,143295.0,116543.0
dice_iter4_FP,61804.0,17552.0,109489.0,40737.0
inv_dice_iter10_FN,148715.0,45262.0,136914.0,113261.0
inv_dice_iter10_FP,61802.0,19760.0,110995.0,42368.0
