,iter,false,depth,illumination,normal,reflectance
inv_dice_iter4_FN,6000,FN,150725.0,42945.0,136292.0,111987.0
inv_dice_iter4_FP,6000,FP,61396.0,20837.0,109780.0,48190.0
inv_dice_iter4_FN,1000,FN,237591.0,41286.0,225734.0,194534.0
inv_dice_iter4_FP,1000,FP,191066.0,474466.0,258955.0,257455.0
inv_dice_iter4_FN,4000,FN,151514.0,47444.0,141170.0,109111.0
inv_dice_iter4_FP,4000,FP,61244.0,19519.0,120746.0,40530.0
inv_dice_iter4_FN,3000,FN,161345.0,40825.0,147981.0,110628.0
inv_dice_iter4_FP,3000,FP,75189.0,409861.0,144109.0,51324.0
inv_dice_iter4_FN,5000,FN,142771.0,44114.0,135846.0,122298.0
inv_dice_iter4_FP,5000,FP,66653.0,17296.0,100390.0,37572.0
inv_dice_iter4_FN,2000,FN,185736.0,63180.0,130745.0,198973.0
inv_dice_iter4_FP,2000,FP,172837.0,176935.0,489240.0,122935.0
dice_iter3_FN,6000,FN,156275.0,44060.0,146378.0,117990.0
dice_iter3_FP,6000,FP,58256.0,16958.0,111569.0,43625.0
dice_iter3_FN,1000,FN,153805.0,44200.0,140979.0,108053.0
dice_iter3_FP,1000,FP,78606.0,26916.0,135818.0,48840.0
dice_iter3_FN,4000,FN,144854.0,43847.0,144724.0,117400.0
dice_iter3_FP,4000,FP,67196.0,18200.0,109077.0,37535.0
dice_iter3_FN,3000,FN,146743.0,43554.0,142124.0,110607.0
dice_iter3_FP,3000,FP,69200.0,18485.0,117341.0,44120.0
dice_iter3_FN,5000,FN,147734.0,45181.0,140907.0,117928.0
dice_iter3_FP,5000,FP,64819.0,17944.0,116852.0,41003.0
dice_iter3_FN,2000,FN,141791.0,41993.0,140984.0,115638.0
dice_iter3_FP,2000,FP,58990.0,20307.0,116024.0,33107.0
inv_dice_iter3_FN,6000,FN,136225.0,43743.0,139020.0,117919.0
inv_dice_iter3_FP,6000,FP,66723.0,19796.0,117076.0,38115.0
inv_dice_iter3_FN,1000,FN,281951.0,19802.0,173600.0,142196.0
inv_dice_iter3_FP,1000,FP,171261.0,747828.0,401732.0,370629.0
inv_dice_iter3_FN,4000,FN,149065.0,61197.0,142065.0,113824.0
inv_dice_iter3_FP,4000,FP,73284.0,64054.0,141950.0,37934.0
inv_dice_iter3_FN,3000,FN,153055.0,59419.0,140883.0,118983.0
inv_dice_iter3_FP,3000,FP,89759.0,216174.0,182320.0,70960.0
inv_dice_iter3_FN,5000,FN,144155.0,44522.0,138018.0,116826.0
inv_dice_iter3_FP,5000,FP,67979.0,17554.0,124421.0,38071.0
inv_dice_iter3_FN,2000,FN,188648.0,20613.0,168658.0,169815.0
inv_dice_iter3_FP,2000,FP,188332.0,742079.0,419805.0,284580.0
inv_dice_iter1_FN,6000,FN,146086.0,43066.0,142497.0,113896.0
inv_dice_iter1_FP,6000,FP,61868.0,17953.0,113070.0,37207.0
inv_dice_iter1_FN,1000,FN,273459.0,69918.0,238298.0,201932.0
inv_dice_iter1_FP,1000,FP,189161.0,34882.0,208707.0,177190.0
inv_dice_iter1_FN,4000,FN,145495.0,52946.0,139829.0,106946.0
inv_dice_iter1_FP,4000,FP,63080.0,53932.0,128998.0,37652.0
inv_dice_iter1_FN,3000,FN,155513.0,36314.0,144257.0,115323.0
inv_dice_iter1_FP,3000,FP,78143.0,520956.0,151772.0,50738.0
inv_dice_iter1_FN,5000,FN,144043.0,43562.0,140551.0,121656.0
