,iter,false,depth,illumination,normal,reflectance
case8_cce_iter2_FN,1000,FN,144885.0,42431.0,145079.0,112210.0
case8_cce_iter2_FP,1000,FP,79098.0,33807.0,136981.0,39738.0
case8_cce_iter2_FN,3000,FN,131215.0,39225.0,137430.0,109815.0
case8_cce_iter2_FP,3000,FP,79570.0,33850.0,125665.0,48397.0
case8_cce_iter2_FN,2000,FN,140047.0,40065.0,138947.0,103457.0
case8_cce_iter2_FP,2000,FP,87937.0,36311.0,115248.0,51742.0
case8_att_iter2_FN,1000,FN,147064.0,41898.0,140215.0,117437.0
case8_att_iter2_FP,1000,FP,82124.0,33958.0,165955.0,43987.0
case8_att_iter2_FN,3000,FN,145622.0,43204.0,140492.0,109185.0
case8_att_iter2_FP,3000,FP,70397.0,24422.0,127007.0,50235.0
case8_att_iter2_FN,2000,FN,144006.0,41491.0,136165.0,111185.0
case8_att_iter2_FP,2000,FP,71545.0,30781.0,121849.0,55486.0
case8_dice_iter1_FN,1000,FN,161422.0,46791.0,139189.0,114675.0
case8_dice_iter1_FP,1000,FP,73275.0,24793.0,133163.0,48026.0
case8_dice_iter1_FN,3000,FN,142386.0,44895.0,136922.0,118254.0
case8_dice_iter1_FP,3000,FP,71146.0,22782.0,124593.0,46560.0
case8_dice_iter1_FN,2000,FN,151382.0,45181.0,134726.0,115551.0
case8_dice_iter1_FP,2000,FP,55008.0,22423.0,131526.0,49100.0
case8_cce_iter3_FN,1000,FN,138253.0,41755.0,140631.0,112446.0
case8_cce_iter3_FP,1000,FP,86719.0,37219.0,134770.0,49388.0
case8_cce_iter3_FN,3000,FN,137007.0,39342.0,131121.0,107017.0
case8_cce_iter3_FP,3000,FP,82906.0,29038.0,130637.0,53215.0
case8_cce_iter3_FN,2000,FN,139618.0,39579.0,134110.0,110519.0
case8_cce_iter3_FP,2000,FP,71301.0,30617.0,128277.0,46972.0
case8_att_iter3_FN,1000,FN,147238.0,43684.0,141901.0,111930.0
case8_att_iter3_FP,1000,FP,82110.0,41298.0,181946.0,50150.0
case8_att_iter3_FN,3000,FN,135568.0,40618.0,137545.0,111813.0
case8_att_iter3_FP,3000,FP,70318.0,29568.0,138794.0,44139.0
case8_att_iter3_FN,2000,FN,138422.0,41799.0,138517.0,113717.0
case8_att_iter3_FP,2000,FP,79320.0,26707.0,128045.0,48521.0
case8_inv_dice_iter2_FN,1000,FN,208938.0,64340.0,183873.0,110952.0
case8_inv_dice_iter2_FP,1000,FP,220012.0,130003.0,372045.0,518601.0
case8_inv_dice_iter2_FN,3000,FN,160328.0,41563.0,145020.0,116150.0
case8_inv_dice_iter2_FP,3000,FP,76995.0,329071.0,166012.0,48918.0
case8_inv_dice_iter2_FN,2000,FN,175308.0,69953.0,142383.0,163502.0
case8_inv_dice_iter2_FP,2000,FP,128656.0,61832.0,487899.0,130888.0
case8_att_iter1_FN,1000,FN,145824.0,46419.0,142286.0,112435.0
case8_att_iter1_FP,1000,FP,85159.0,36014.0,157186.0,54843.0
case8_att_iter1_FN,3000,FN,147190.0,44334.0,141038.0,111103.0
case8_att_iter1_FP,3000,FP,68228.0,29716.0,126503.0,53099.0
case8_att_iter1_FN,2000,FN,150173.0,43258.0,136367.0,109855.0
case8_att_iter1_FP,2000,FP,71435.0,31188.0,131079.0,50486.0
case8_cce_iter1_FN,1000,FN,142714.0,41593.0,142739.0,110257.0
case8_cce_iter1_FP,1000,FP,81329.0,26762.0,136113.0,46483.0
case8_cce_iter1_FN,3000,FN,136610.0,39327.0,135444.0,105495.0
case8_cce_iter1_FP,3000,FP,77902.0,28218.0,116120.0,40377.0
case8_cce_iter1_FN,2000,FN,136189.0,41281.0,138984.0,109026.0
case8_cce_iter1_FP,2000,FP,80573.0,26861.0,122283.0,47636.0
case8_inv_dice_iter1_FN,1000,FN,211478.0,71189.0,227202.0,186284.0
case8_inv_dice_iter1_FP,1000,FP,197167.0,16359.0,265640.0,334309.0
case8_inv_dice_iter1_FN,3000,FN,159373.0,41207.0,141016.0,117204.0
case8_inv_dice_iter1_FP,3000,FP,78973.0,348639.0,174117.0,48021.0
case8_inv_dice_iter1_FN,2000,FN,178594.0,3788.0,142098.0,133654.0
case8_inv_dice_iter1_FP,2000,FP,116184.0,958445.0,453682.0,119147.0
case8_dice_iter3_FN,1000,FN,199008.0,49565.0,156117.0,149355.0
case8_dice_iter3_FP,1000,FP,138421.0,56567.0,229449.0,93222.0
case8_dice_iter3_FN,3000,FN,183078.0,49448.0,149912.0,141249.0
case8_dice_iter3_FP,3000,FP,125416.0,43898.0,206125.0,98772.0
case8_dice_iter3_FN,2000,FN,187270.0,48420.0,146790.0,134567.0
case8_dice_iter3_FP,2000,FP,143630.0,42854.0,205713.0,102699.0
case8_inv_dice_iter3_FN,1000,FN,218483.0,49886.0,160912.0,182181.0
case8_inv_dice_iter3_FP,1000,FP,203845.0,317918.0,433555.0,323220.0
case8_inv_dice_iter3_FN,3000,FN,152759.0,41221.0,132900.0,113904.0
case8_inv_dice_iter3_FP,3000,FP,80513.0,479019.0,158043.0,49628.0
case8_inv_dice_iter3_FN,2000,FN,171774.0,64763.0,151843.0,138906.0
case8_inv_dice_iter3_FP,2000,FP,113679.0,157928.0,450261.0,133123.0
case8_dice_iter2_FN,1000,FN,157901.0,44572.0,144136.0,109899.0
case8_dice_iter2_FP,1000,FP,83680.0,26513.0,135042.0,40892.0
case8_dice_iter2_FN,3000,FN,147993.0,43863.0,138172.0,111202.0
case8_dice_iter2_FP,3000,FP,64688.0,24334.0,126115.0,42902.0
case8_dice_iter2_FN,2000,FN,146588.0,45629.0,136318.0,109152.0
case8_dice_iter2_FP,2000,FP,64844.0,19857.0,116052.0,44462.0
