,iter,false,depth,illumination,normal,reflectance
dice_iter5_FN,3000,FN,177512.0,45644.0,153692.0,128332.0
dice_iter5_FP,3000,FP,42586.0,13986.0,97237.0,36378.0
inv_dice_iter4_FN,6000,FN,181560.0,44333.0,159690.0,122389.0
inv_dice_iter4_FP,6000,FP,44452.0,16007.0,92279.0,32143.0
dice_iter3_FN,3000,FN,179153.0,47156.0,154953.0,126902.0
dice_iter3_FP,3000,FP,47728.0,14833.0,96370.0,38665.0
att_iter12_FN,3000,FN,197144.0,46214.0,173499.0,141558.0
att_iter12_FP,3000,FP,44843.0,25694.0,85945.0,29599.0
inv_dice_iter3_FN,6000,FN,172637.0,46278.0,155958.0,120643.0
inv_dice_iter3_FP,6000,FP,51585.0,13008.0,91251.0,32241.0
cce_iter5_FN,3000,FN,198837.0,43499.0,164220.0,131247.0
cce_iter5_FP,3000,FP,40265.0,17680.0,85597.0,29554.0
att_iter1_FN,3000,FN,189511.0,44484.0,165658.0,135618.0
att_iter1_FP,3000,FP,46663.0,20583.0,87891.0,28903.0
cce_iter1_FN,3000,FN,205142.0,43419.0,170996.0,131902.0
cce_iter1_FP,3000,FP,39787.0,16720.0,82107.0,35150.0
cce_iter10_FN,3000,FN,200923.0,43007.0,165815.0,127732.0
cce_iter10_FP,3000,FP,33656.0,21014.0,88461.0,34829.0
att_iter3_FN,3000,FN,183384.0,45119.0,173900.0,129639.0
att_iter3_FP,3000,FP,51352.0,19780.0,87448.0,38830.0
att_iter6_FN,3000,FN,181961.0,45651.0,172258.0,130826.0
att_iter6_FP,3000,FP,55114.0,17580.0,87283.0,32747.0
inv_dice_iter5_FN,6000,FN,182029.0,47046.0,156116.0,126420.0
inv_dice_iter5_FP,6000,FP,45818.0,15052.0,89980.0,35314.0
inv_dice_iter1_FN,6000,FN,168880.0,44537.0,155745.0,124163.0
inv_dice_iter1_FP,6000,FP,47789.0,16022.0,92154.0,33838.0
inv_dice_iter2_FN,6000,FN,178262.0,46674.0,158889.0,124541.0
inv_dice_iter2_FP,6000,FP,47255.0,12128.0,89645.0,37768.0
cce_iter7_FN,3000,FN,200686.0,44417.0,173296.0,134128.0
cce_iter7_FP,3000,FP,38882.0,21791.0,83979.0,28406.0
att_iter9_FN,3000,FN,190215.0,46229.0,166364.0,138790.0
att_iter9_FP,3000,FP,44869.0,18320.0,94248.0,25082.0
att_iter11_FN,3000,FN,180355.0,44213.0,165923.0,131414.0
att_iter11_FP,3000,FP,44871.0,19751.0,85550.0,31685.0
cce_iter4_FN,3000,FN,196926.0,46339.0,169601.0,134411.0
cce_iter4_FP,3000,FP,44545.0,24820.0,91684.0,32997.0
cce_iter12_FN,3000,FN,198897.0,47635.0,172501.0,137628.0
cce_iter12_FP,3000,FP,43744.0,23878.0,87935.0,28392.0
cce_iter11_FN,3000,FN,187607.0,43441.0,161302.0,129747.0
cce_iter11_FP,3000,FP,43316.0,21742.0,91056.0,36390.0
dice_iter1_FN,3000,FN,177138.0,46656.0,156657.0,126007.0
dice_iter1_FP,3000,FP,46113.0,12557.0,94606.0,31421.0
att_iter4_FN,3000,FN,188845.0,45017.0,172808.0,133784.0
att_iter4_FP,3000,FP,48267.0,20063.0,85495.0,35329.0
inv_dice_iter7_FN,6000,FN,178275.0,44754.0,155681.0,118493.0
inv_dice_iter7_FP,6000,FP,47693.0,17419.0,86791.0,42429.0
att_iter10_FN,3000,FN,189621.0,46135.0,170185.0,136680.0
att_iter10_FP,3000,FP,44523.0,19745.0,80754.0,28724.0
cce_iter2_FN,3000,FN,192873.0,43301.0,168467.0,138072.0
cce_iter2_FP,3000,FP,45729.0,22948.0,79555.0,24748.0
dice_iter6_FN,3000,FN,182351.0,46071.0,159821.0,126074.0
dice_iter6_FP,3000,FP,50297.0,14503.0,95994.0,33897.0
inv_dice_iter6_FN,6000,FN,174100.0,45829.0,156223.0,129202.0
inv_dice_iter6_FP,6000,FP,45174.0,15967.0,96043.0,31210.0
cce_iter6_FN,3000,FN,211151.0,47749.0,170709.0,136002.0
cce_iter6_FP,3000,FP,36901.0,22846.0,91928.0,32571.0
att_iter7_FN,3000,FN,184260.0,42406.0,164254.0,134817.0
att_iter7_FP,3000,FP,44884.0,24565.0,90814.0,28026.0
att_iter8_FN,3000,FN,185282.0,44238.0,168399.0,131992.0
att_iter8_FP,3000,FP,46844.0,20392.0,94228.0,27169.0
cce_iter8_FN,3000,FN,206386.0,46028.0,173304.0,132690.0
cce_iter8_FP,3000,FP,40001.0,23930.0,98353.0,35759.0
att_iter5_FN,3000,FN,185224.0,46220.0,164044.0,134808.0
att_iter5_FP,3000,FP,50281.0,20169.0,95977.0,31267.0
att_iter2_FN,3000,FN,190105.0,43655.0,172785.0,131541.0
att_iter2_FP,3000,FP,43825.0,22831.0,87589.0,32210.0
dice_iter2_FN,3000,FN,186914.0,46103.0,157837.0,122823.0
dice_iter2_FP,3000,FP,46196.0,16212.0,89204.0,31536.0
cce_iter3_FN,3000,FN,209356.0,42588.0,172819.0,130711.0
cce_iter3_FP,3000,FP,32288.0,21534.0,77986.0,34183.0
dice_iter4_FN,3000,FN,182648.0,46374.0,158412.0,133364.0
dice_iter4_FP,3000,FP,50574.0,14434.0,96972.0,31952.0
cce_iter9_FN,3000,FN,195454.0,44625.0,164670.0,135851.0
cce_iter9_FP,3000,FP,42410.0,23556.0,87685.0,30352.0
