,iter,false,depth,illumination,normal,reflectance
dice_iter5_FN,3000,FN,312079.0,54438.0,235939.0,192933.0
dice_iter5_FP,3000,FP,23821.0,8286.0,46873.0,19681.0
inv_dice_iter4_FN,6000,FN,312438.0,54385.0,236581.0,188481.0
inv_dice_iter4_FP,6000,FP,24406.0,8100.0,44034.0,15526.0
dice_iter3_FN,3000,FN,311642.0,56137.0,238304.0,196846.0
dice_iter3_FP,3000,FP,26743.0,8167.0,44437.0,18378.0
att_iter12_FN,3000,FN,319574.0,60097.0,241205.0,203679.0
att_iter12_FP,3000,FP,26094.0,11449.0,47241.0,16513.0
inv_dice_iter3_FN,6000,FN,313343.0,55981.0,238639.0,190421.0
inv_dice_iter3_FP,6000,FP,25546.0,5998.0,42738.0,15744.0
cce_iter5_FN,3000,FN,320183.0,58229.0,238374.0,198425.0
cce_iter5_FP,3000,FP,24292.0,7428.0,44807.0,15640.0
att_iter1_FN,3000,FN,319423.0,58182.0,239464.0,201559.0
att_iter1_FP,3000,FP,25837.0,9607.0,46901.0,15836.0
cce_iter1_FN,3000,FN,317180.0,57659.0,238908.0,197407.0
cce_iter1_FP,3000,FP,24778.0,7733.0,45695.0,18333.0
cce_iter10_FN,3000,FN,324668.0,58276.0,240186.0,201536.0
cce_iter10_FP,3000,FP,22775.0,9118.0,45455.0,17187.0
att_iter3_FN,3000,FN,315809.0,58105.0,238661.0,197109.0
att_iter3_FP,3000,FP,27742.0,8906.0,51083.0,20188.0
att_iter6_FN,3000,FN,317616.0,58824.0,239765.0,197949.0
att_iter6_FP,3000,FP,29675.0,8451.0,48339.0,17721.0
inv_dice_iter5_FN,6000,FN,309464.0,54793.0,238215.0,187079.0
inv_dice_iter5_FP,6000,FP,24811.0,9569.0,40179.0,18932.0
inv_dice_iter1_FN,6000,FN,312067.0,54313.0,236767.0,188114.0
inv_dice_iter1_FP,6000,FP,24489.0,8374.0,45853.0,18098.0
inv_dice_iter2_FN,6000,FN,312386.0,54498.0,237223.0,186783.0
inv_dice_iter2_FP,6000,FP,24903.0,7387.0,42989.0,19824.0
cce_iter7_FN,3000,FN,318941.0,59005.0,240652.0,196592.0
cce_iter7_FP,3000,FP,24625.0,8942.0,44658.0,16725.0
att_iter9_FN,3000,FN,319910.0,58944.0,238467.0,201345.0
att_iter9_FP,3000,FP,24643.0,8759.0,51448.0,14348.0
att_iter11_FN,3000,FN,315649.0,57726.0,238152.0,197153.0
att_iter11_FP,3000,FP,24233.0,9610.0,45190.0,16264.0
cce_iter4_FN,3000,FN,319830.0,58583.0,240032.0,199615.0
cce_iter4_FP,3000,FP,26635.0,12828.0,48637.0,17924.0
cce_iter12_FN,3000,FN,323061.0,60192.0,240277.0,203497.0
cce_iter12_FP,3000,FP,25495.0,11411.0,47095.0,15255.0
cce_iter11_FN,3000,FN,317897.0,57705.0,238550.0,196003.0
cce_iter11_FP,3000,FP,21827.0,10331.0,45684.0,18775.0
dice_iter1_FN,3000,FN,308956.0,55892.0,236543.0,194710.0
dice_iter1_FP,3000,FP,26769.0,7108.0,47954.0,16161.0
att_iter4_FN,3000,FN,317800.0,58312.0,241032.0,200632.0
att_iter4_FP,3000,FP,27707.0,9215.0,47518.0,17701.0
inv_dice_iter7_FN,6000,FN,310521.0,53237.0,238412.0,187788.0
inv_dice_iter7_FP,6000,FP,25380.0,9915.0,39694.0,20744.0
att_iter10_FN,3000,FN,318799.0,58294.0,239295.0,199998.0
att_iter10_FP,3000,FP,25021.0,9554.0,44558.0,16643.0
cce_iter2_FN,3000,FN,320200.0,58970.0,239549.0,199803.0
cce_iter2_FP,3000,FP,24691.0,8407.0,42866.0,14108.0
dice_iter6_FN,3000,FN,308952.0,55807.0,237582.0,194435.0
dice_iter6_FP,3000,FP,29572.0,7903.0,48867.0,17782.0
inv_dice_iter6_FN,6000,FN,312133.0,54163.0,236279.0,187698.0
inv_dice_iter6_FP,6000,FP,25455.0,9436.0,47208.0,17618.0
cce_iter6_FN,3000,FN,325725.0,60073.0,239577.0,201947.0
cce_iter6_FP,3000,FP,25018.0,11557.0,50877.0,17556.0
att_iter7_FN,3000,FN,317164.0,56549.0,237052.0,197682.0
att_iter7_FP,3000,FP,23695.0,10109.0,47522.0,15337.0
att_iter8_FN,3000,FN,317600.0,57542.0,238803.0,199278.0
att_iter8_FP,3000,FP,25585.0,9714.0,49597.0,14684.0
cce_iter8_FN,3000,FN,325236.0,60582.0,240763.0,203655.0
cce_iter8_FP,3000,FP,26180.0,10104.0,52464.0,18341.0
att_iter5_FN,3000,FN,315143.0,58589.0,238262.0,198505.0
att_iter5_FP,3000,FP,27567.0,8977.0,50901.0,16509.0
att_iter2_FN,3000,FN,316044.0,57950.0,238482.0,198349.0
att_iter2_FP,3000,FP,25650.0,10180.0,51011.0,17584.0
dice_iter2_FN,3000,FN,312969.0,54812.0,236524.0,191044.0
dice_iter2_FP,3000,FP,27142.0,9985.0,44216.0,16473.0
cce_iter3_FN,3000,FN,323572.0,58207.0,240375.0,201347.0
cce_iter3_FP,3000,FP,21865.0,9692.0,43686.0,17571.0
dice_iter4_FN,3000,FN,313503.0,54784.0,237052.0,195099.0
dice_iter4_FP,3000,FP,28116.0,8767.0,47292.0,16958.0
cce_iter9_FN,3000,FN,321319.0,58321.0,238764.0,197675.0
cce_iter9_FP,3000,FP,23495.0,11378.0,45080.0,16778.0
