,iter,false,depth,illumination,normal,reflectance
dice_iter5_FN,3000,FN,814.0,217.0,3039.0,5702.0
dice_iter5_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
inv_dice_iter4_FN,6000,FN,814.0,217.0,3039.0,5702.0
inv_dice_iter4_FP,6000,FP,612114.0,998352.0,778447.0,820643.0
dice_iter3_FN,3000,FN,814.0,217.0,3039.0,5702.0
dice_iter3_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
att_iter12_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter12_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
inv_dice_iter3_FN,6000,FN,814.0,217.0,3039.0,5702.0
inv_dice_iter3_FP,6000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter5_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter5_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
att_iter1_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter1_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter1_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter1_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter10_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter10_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
att_iter3_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter3_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
att_iter6_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter6_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
inv_dice_iter5_FN,6000,FN,814.0,217.0,3039.0,5702.0
inv_dice_iter5_FP,6000,FP,612114.0,998352.0,778447.0,820643.0
inv_dice_iter1_FN,6000,FN,814.0,217.0,3039.0,5702.0
inv_dice_iter1_FP,6000,FP,612114.0,998352.0,778447.0,820643.0
inv_dice_iter2_FN,6000,FN,814.0,217.0,3039.0,5702.0
inv_dice_iter2_FP,6000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter7_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter7_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
att_iter9_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter9_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
att_iter11_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter11_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter4_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter4_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter12_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter12_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter11_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter11_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
dice_iter1_FN,3000,FN,814.0,217.0,3039.0,5702.0
dice_iter1_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
att_iter4_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter4_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
inv_dice_iter7_FN,6000,FN,814.0,217.0,3039.0,5702.0
inv_dice_iter7_FP,6000,FP,612114.0,998352.0,778447.0,820643.0
att_iter10_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter10_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter2_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter2_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
dice_iter6_FN,3000,FN,814.0,217.0,3039.0,5702.0
dice_iter6_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
inv_dice_iter6_FN,6000,FN,814.0,217.0,3039.0,5702.0
inv_dice_iter6_FP,6000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter6_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter6_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
att_iter7_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter7_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
att_iter8_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter8_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter8_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter8_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
att_iter5_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter5_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
att_iter2_FN,3000,FN,814.0,217.0,3039.0,5702.0
att_iter2_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
dice_iter2_FN,3000,FN,814.0,217.0,3039.0,5702.0
dice_iter2_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter3_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter3_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
dice_iter4_FN,3000,FN,814.0,217.0,3039.0,5702.0
dice_iter4_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
cce_iter9_FN,3000,FN,814.0,217.0,3039.0,5702.0
cce_iter9_FP,3000,FP,612114.0,998352.0,778447.0,820643.0
