,iter,false,depth,illumination,normal,reflectance
dice_iter5_FN,3000,FN,295948.0,52690.0,228510.0,185727.0
dice_iter5_FP,3000,FP,26863.0,9235.0,52549.0,22039.0
inv_dice_iter4_FN,6000,FN,295538.0,52759.0,229320.0,181027.0
inv_dice_iter4_FP,6000,FP,27681.0,9266.0,49762.0,17682.0
dice_iter3_FN,3000,FN,295617.0,54467.0,231058.0,189031.0
dice_iter3_FP,3000,FP,30333.0,9287.0,49964.0,20938.0
att_iter12_FN,3000,FN,283043.0,56486.0,221309.0,186063.0
att_iter12_FP,3000,FP,33051.0,14426.0,61094.0,21454.0
inv_dice_iter3_FN,6000,FN,296299.0,54701.0,231942.0,183181.0
inv_dice_iter3_FP,6000,FP,29261.0,6496.0,47113.0,17817.0
cce_iter5_FN,3000,FN,256570.0,54641.0,208694.0,181691.0
cce_iter5_FP,3000,FP,32677.0,9150.0,62010.0,19184.0
att_iter1_FN,3000,FN,283454.0,55077.0,218758.0,184581.0
att_iter1_FP,3000,FP,32025.0,11957.0,60736.0,20128.0
cce_iter1_FN,3000,FN,257436.0,54161.0,216087.0,177796.0
cce_iter1_FP,3000,FP,33671.0,9552.0,58866.0,23045.0
cce_iter10_FN,3000,FN,250445.0,53751.0,212099.0,180330.0
cce_iter10_FP,3000,FP,32278.0,11980.0,62550.0,21656.0
att_iter3_FN,3000,FN,282060.0,55108.0,217860.0,182779.0
att_iter3_FP,3000,FP,34277.0,10890.0,67057.0,24174.0
att_iter6_FN,3000,FN,286077.0,55489.0,218993.0,181082.0
att_iter6_FP,3000,FP,35691.0,10818.0,62233.0,21779.0
inv_dice_iter5_FN,6000,FN,292228.0,53278.0,231325.0,180418.0
inv_dice_iter5_FP,6000,FP,28121.0,10890.0,44910.0,20821.0
inv_dice_iter1_FN,6000,FN,294998.0,52987.0,229699.0,181353.0
inv_dice_iter1_FP,6000,FP,27811.0,8876.0,50561.0,19928.0
inv_dice_iter2_FN,6000,FN,295006.0,52854.0,230063.0,179626.0
inv_dice_iter2_FP,6000,FP,28403.0,8402.0,48234.0,22269.0
cce_iter7_FN,3000,FN,258522.0,55237.0,216402.0,176815.0
cce_iter7_FP,3000,FP,34373.0,11447.0,59690.0,20738.0
att_iter9_FN,3000,FN,280043.0,55108.0,219261.0,183975.0
att_iter9_FP,3000,FP,31443.0,11267.0,65214.0,18251.0
att_iter11_FN,3000,FN,280958.0,54598.0,216066.0,183922.0
att_iter11_FP,3000,FP,29958.0,11838.0,59509.0,19714.0
cce_iter4_FN,3000,FN,263094.0,55217.0,214290.0,179923.0
cce_iter4_FP,3000,FP,35116.0,15893.0,65121.0,22376.0
cce_iter12_FN,3000,FN,263774.0,55894.0,209651.0,179440.0
cce_iter12_FP,3000,FP,34963.0,14791.0,67029.0,20640.0
cce_iter11_FN,3000,FN,277662.0,53465.0,215394.0,176872.0
cce_iter11_FP,3000,FP,27805.0,13050.0,59680.0,23410.0
dice_iter1_FN,3000,FN,292488.0,54158.0,229179.0,187184.0
dice_iter1_FP,3000,FP,29867.0,8093.0,53701.0,18430.0
att_iter4_FN,3000,FN,277749.0,55248.0,218848.0,185150.0
att_iter4_FP,3000,FP,35179.0,11215.0,62477.0,21918.0
inv_dice_iter7_FN,6000,FN,293280.0,51717.0,230776.0,180234.0
inv_dice_iter7_FP,6000,FP,29006.0,11041.0,45682.0,23628.0
att_iter10_FN,3000,FN,281114.0,55298.0,219039.0,184146.0
att_iter10_FP,3000,FP,31101.0,11731.0,57757.0,20432.0
cce_iter2_FN,3000,FN,255329.0,54597.0,212857.0,177193.0
cce_iter2_FP,3000,FP,34819.0,11402.0,58059.0,18483.0
dice_iter6_FN,3000,FN,292842.0,54303.0,230786.0,187187.0
dice_iter6_FP,3000,FP,33413.0,8887.0,54286.0,20147.0
inv_dice_iter6_FN,6000,FN,295485.0,52477.0,229612.0,181205.0
inv_dice_iter6_FP,6000,FP,28617.0,10545.0,51856.0,19286.0
cce_iter6_FN,3000,FN,240760.0,56419.0,212819.0,181090.0
cce_iter6_FP,3000,FP,37531.0,14700.0,69617.0,22991.0
att_iter7_FN,3000,FN,283465.0,53872.0,221054.0,184312.0
att_iter7_FP,3000,FP,29053.0,12108.0,57926.0,18186.0
att_iter8_FN,3000,FN,282245.0,54143.0,218177.0,183520.0
att_iter8_FP,3000,FP,31754.0,12123.0,64892.0,18059.0
cce_iter8_FN,3000,FN,256637.0,55789.0,214139.0,184770.0
cce_iter8_FP,3000,FP,36358.0,13426.0,72943.0,23613.0
att_iter5_FN,3000,FN,278619.0,55806.0,219794.0,182904.0
att_iter5_FP,3000,FP,34876.0,10672.0,64497.0,20570.0
att_iter2_FN,3000,FN,278372.0,54651.0,220178.0,184688.0
att_iter2_FP,3000,FP,32158.0,12687.0,64270.0,21202.0
dice_iter2_FN,3000,FN,297773.0,52820.0,229284.0,183058.0
dice_iter2_FP,3000,FP,30419.0,11229.0,49235.0,18930.0
cce_iter3_FN,3000,FN,250834.0,53663.0,216699.0,181091.0
cce_iter3_FP,3000,FP,31096.0,12564.0,58069.0,22330.0
dice_iter4_FN,3000,FN,298616.0,53149.0,229500.0,187808.0
dice_iter4_FP,3000,FP,31308.0,9757.0,53083.0,19267.0
cce_iter9_FN,3000,FN,267392.0,54198.0,213511.0,173634.0
cce_iter9_FP,3000,FP,31535.0,14322.0,60202.0,21861.0
