,depth,illumination,normal,reflectance
dice_iter3_FN,144087.0,42203.0,134385.0,110057.0
dice_iter3_FP,65095.0,21975.0,122429.0,39521.0
inv_dice_iter3_FN,177142.0,505.0,157775.0,134204.0
inv_dice_iter3_FP,100350.0,995880.0,367389.0,136797.0
inv_dice_iter1_FN,185397.0,67315.0,141369.0,150879.0
inv_dice_iter1_FP,148327.0,108640.0,490280.0,185441.0
inv_dice_iter2_FN,178698.0,64618.0,139534.0,90487.0
inv_dice_iter2_FP,151711.0,150623.0,490309.0,572798.0
dice_iter1_FN,176627.0,49491.0,149494.0,138634.0
dice_iter1_FP,149402.0,44953.0,196147.0,93663.0
dice_iter2_FN,187000.0,49381.0,147038.0,144025.0
dice_iter2_FP,140734.0,42433.0,196488.0,102363.0
